Id,Nome,Localita,Comune,Settore Alpino,Web,Anno,Quota,Letti,Cuccette,Tavolato,Invernale,Tipologia,Regione
65,FIRENZE,FIRENZE,S.CRISTINA DI VA,ALPI DOLOMITICHE,http://www.rifugiofirenze.com,1888,2040,113,0,0,0,Rifugio,Provincia auton. Bolzano
66,PELLER,PELLER,CLES,ALPI RETICHE,http://www.satcles.it,1903,2022,40,0,0,0,Rifugio,Provincia auton. Trento
67,CALCIATI AL TRIBULAUN,CALCIATI AL TRIBULAUN,BRENNERO,ALPI RETICHE,http://www.tribulaunhuette.com,1891,2369,37,0,0,0,Rifugio,Provincia auton. Bolzano
68,CIMA PRESANELLA/BRIGATA OROBICA,CIMA PRESANELLA/BRIGATA OROBICA,PINZOLO,ALPI RETICHE,http://www.sat.tn.it,1968,3382,8,0,0,0,Bivacco,Provincia auton. Trento
69,CROZZON/CASTIGLIONI,CROZZON/CASTIGLIONI,PINZOLO,ALPI RETICHE,http://www.sat.tn.it/rifugi/castiglioni.htm,1957,3135,4,0,0,0,Bivacco,Provincia auton. Trento
70,MORO ALDO,MORO ALDO,PREDAZZO,ALPI DOLOMITICHE,http://www.sentieroselvaggio.it,1981,2565,9,0,0,0,Bivacco,Provincia auton. Trento
71,FLLI FILZI,FLLI FILZI (FINONCHIO),ROVERETO,PREALPI VENETE,,1930,1603,16,0,0,0,Rifugio,Provincia auton. Trento
72,STAVEL/DENZA,STAVEL/DENZA,VERMIGLIO,ALPI RETICHE,http://www.rifugiodenza.com,1899,2298,56,0,0,20,Rifugio,Provincia auton. Trento
73,FIAMME GIALLE,FIAMME GIALLE,TONADICO,ALPI DOLOMITICHE,http://www.valcanali.it,1967,3005,9,0,0,0,Bivacco,Provincia auton. Trento
74,CITTA DI CANTU,CITTA DI CANTU,STELVIO,ALPI RETICHE,http://www.rifugi-bivacchi.com,1971,3525,9,0,0,0,Bivacco,Provincia auton. Bolzano
75,ZENI,ZENI (ALLA VALLACCIA),POZZA DI FASSA,ALPI DOLOMITICHE,http://www.clubalpinoaccademico.it,1970,2100,5,0,0,0,Bivacco,Provincia auton. Trento
76,CIMA FIAMMANTE,CIMA FIAMMANTE,PARCINES,ALPI RETICHE,http://www.caimerano.it/rifugi.html,1891,2259,59,0,0,4,Rifugio,Provincia auton. Bolzano
77,PAYER JULIUS,PAYER JULIUS,STELVIO,ALPI RETICHE,http://www.payerhuette.com,1875,3029,86,0,0,0,Rifugio,Provincia auton. Bolzano
78,PORRO GIOVANNI,PORRO GIOVANNI,SELVA DEI MOLINI,ALPI NORICHE,http://www.chemnitzerhuette.com,1880,2420,60,0,0,0,Rifugio,Provincia auton. Bolzano
79,PETRARCA ALL ALTISSIMA,PETRARCA ALL ALTISSIMA,MOSO IN PASSIRIA,ALPI RETICHE,http://www.caimerano.it,1897,2875,112,0,0,8,Rifugio,Provincia auton. Bolzano
80,MARINELLI DINO,MARINELLI DINO,MALE,ALPI RETICHE,http://www.rifugi-bivacchi.com,1993,2075,3,0,0,0,Bivacco,Provincia auton. Trento
